"claim_id","theme","claim","relation","source","scope","note"
"C031","身份","群体身份会促进内群合作","supports-qualifies","balliet2014ingroup","元分析","相互依赖和共同身份知识时更强"
"C032","身份","群体身份必然造成外群仇恨","conflicts-strong-version","tajfel1971minimal;balliet2014ingroup","实验与元分析","证据更稳定支持内群偏爱，而不是主动伤害外群"
"C033","地位","地位奖励可以促进公共贡献","supports","willer2009status;hardy2006altruism","多项实验","地位动机与关怀动机可以并存"
"C034","地位","地位追求只会产生亲社会行为","conflicts","pettit2016status","实验","避免地位下降可增加作弊"
"C035","社会比较","受威胁时人普遍向下比较","conflicts","gerber2018comparison","元分析","没有发现普遍向下偏好，向上比较更常见"
"C036","规范","一致多数能引发部分公开从众","supports-qualifies","asch1956conformity;bond1996culture","实验与元分析","盟友、时代和文化显著调节"
"C037","规范","发送一条社会规范信息能稳定改变现实健康行为","weak-conflicts-strong-version","papakonstantinou2025norms","89项RCT","校正发表偏差后平均效果接近零"
"C038","规范","描述性规范总会把行为推向更好方向","conflicts-backfire","schultz2007norms","现场实验","平均能耗信息使原本低耗能家庭增加用电"
"C039","信任","信任游戏中的转账是纯粹信任测量","conflicts-measurement","cox2004trust","三游戏实验","转账混有利他和平等偏好，返还混有互惠和分配偏好"
"C040","合作","未来重复互动可以促进合作","supports","dalbo2005repeated","随机延续重复博弈实验","不要求参与者具有无条件利他动机"
"C041","合作","惩罚机会必然促进合作","conflicts-strong-version","herrmann2008punishment","16个跨社会样本","反社会惩罚有时抵消合作收益"
"C042","合作","直觉和时间压力普遍提高合作","fails-to-replicate","bouwmeester2017replication","21实验室预注册复制","意向治疗分析中效果接近零"
"C043","亲社会","真实可观察性会小幅提高亲社会行为","supports-small","bradley2018observability","117篇、N=788164","真实旁观、后果和重复互动时更强，现场弱于实验室"
"C044","亲社会","抽象眼睛图片能可靠提高慷慨","conflicts","northover2017eyes","两项元分析","真实观察与人工监视线索不是同一操纵"
"C045","意义","看见工作对他人的影响可以提高投入和绩效","supports-qualifies","grant2008significance","三项现场实验","受价值观、尽责性和工作类型调节"
"C046","意义","人生目的感会直接延长寿命","correlates-not-causal","sutin2026purpose","25个纵向样本、N=488765","关联稳健但异质，反向因果和共同原因仍不能排除"
"C047","自述","当事人的流畅解释足以识别实际行为机制","conflicts-measurement","nisbett1977verbal;johansson2005choiceblindness","综述与选择盲视实验","自述仍可有效记录体验和有意识理由"
"C048","层级","人群平均关系可以直接解释某个人的一次行动","conflicts-level","fisher2018generalizability","密集重复测量研究","个体内与群体间结构可能明显不同"
"C049","个体因果","已知人群因果效应后，就能确定某个人这一次结果的唯一原因","conflicts-identification","dawid2016causality","因果概率与个体归因分析","个体未发生的反事实不可同时观察，常只能得到概率边界"
"C050","因果识别","观察研究永远不能识别因果效应","conflicts-strong-version","shpitser2006identification;hernan2020whatif","因果图与识别理论","在明确一致性、交换性、正值性和干预版本等假设时部分观察问题可识别"
"C051","多因路径","同一个行为结果通常存在唯一必要且充分的动机","conflicts","cicchetti1996equifinality;rothman1976causes","发展科学与充分组分原因模型","不同路径可达同一结果，同一因素也可产生不同结果"
"C052","复杂性","不可精确预测等于没有原因","conflicts-concept","lorenz1963flow","确定性动力系统","确定性系统也可能因初始条件敏感而失去长期预测能力"
"C053","路径依赖","具体文化产品的成功可以由质量和共同规则唯一解释","conflicts","salganik2006market","平行人工音乐市场实验","社会影响增强不平等并降低具体赢家的可预测性，质量仍约束极端结果"
"C054","涌现","强烈宏观隔离必须来自每个人强烈的隔离意图","conflicts-level","schelling1971segregation","生成性模型","局部偏好和互动足以生成远强于个体偏好的宏观隔离"
"C055","涌现","群体结果可以直接反推出所有成员共享的行动动机","conflicts-level","granovetter1978thresholds","阈值模型","相近平均偏好的群体可因阈值分布和早期行动产生不同结果"
"C056","预测解释","行为预测准确率高就说明已经知道人的动力","conflicts-concept","shmueli2010predict","统计建模方法论","代理变量和稳定相关可以预测，却未识别机制或干预效应"
"C057","事后解释","结果发生后能讲通的理论就得到支持","conflicts-method","fischhoff1975hindsight;kerr1998harking","实验与方法论综述","结果知识会改变事前可能性判断，发现阶段不能伪装成验证"
"C058","人格归因","观察一次行为就能读取稳定人格或动机","conflicts-context","jones1967attribution;miller1984culture","实验与跨文化研究","情境约束容易被低估，归因风格还受文化影响"
"C059","层级","群体模型无需检验即可外推到同一个人的时间变化","conflicts-level","fisher2018generalizability;molenaar2004idiographic","密集重复测量与非遍历性理论","个体内结构可能不同于群体间结构"
"C060","自述","当事人自述的原因要么完全真实，要么完全无效","conflicts-false-dichotomy","nisbett1977verbal;ericsson1980verbal","综述与认知方法论","自述可记录体验和有意识理由，但不能单独识别全部因果过程"
